-325,-201,212,-107,-38,157,34,-851,240,-219,531,215,-200,-393
-371,-195,208,-104,-47,158,28,-848,247,-225,528,217,-201,-498
-334,-197,227,-106,-50,157,31,-846,233,-220,533,214,-198,-681
-368,-197,216,-100,-47,159,31,-848,256,-217,534,220,-202,-459
-344,-195,222,-106,-40,158,32,-839,240,-217,535,218,-194,-612
-364,-199,223,-102,-44,159,31,-839,246,-221,527,216,-199,-467
-345,-193,216,-107,-43,158,31,-835,243,-221,531,214,-201,-497
-349,-194,221,-102,-43,158,30,-838,246,-220,532,213,-201,-522
-370,-198,220,-102,-42,159,34,-850,238,-219,526,210,-204,-609
-333,-201,216,-102,-38,157,32,-834,251,-224,529,213,-200,-496
-370,-196,212,-103,-43,165,35,-833,246,-216,524,216,-207,-461
-336,-197,224,-104,-47,154,31,-842,244,-219,527,217,-196,-641
-362,-190,222,-108,-39,158,33,-842,247,-219,530,215,-207,-518
-354,-196,229,-100,-42,159,30,-847,247,-218,529,207,-201,-630
-352,-196,220,-107,-38,159,32,-830,244,-220,526,215,-200,-479
-358,-195,222,-101,-45,158,31,-836,248,-216,529,213,-201,-502
-339,-195,220,-105,-45,158,32,-840,246,-221,525,219,-204,-597
